iter	Passed	Remaining
0	1	821
1	2	776
2	3	752
3	4	750
4	5	739
5	6	741
6	8	757
7	9	772
8	11	786
9	12	784
10	13	787
11	14	784
12	15	772
13	16	758
14	17	746
15	18	737
16	19	728
17	20	722
18	21	716
19	22	707
20	23	700
21	24	693
22	25	686
23	26	682
24	27	676
25	28	676
26	29	674
27	30	671
28	31	667
29	32	662
30	33	658
31	34	654
32	35	650
33	36	649
34	37	648
35	38	646
36	39	644
37	40	640
38	41	637
39	41	635
40	42	632
41	44	633
42	45	634
43	46	632
44	47	631
45	48	631
46	49	629
47	50	626
48	51	628
49	52	625
50	53	623
51	54	623
52	55	622
53	56	621
54	58	622
55	59	622
56	60	624
57	61	625
58	63	626
59	64	629
60	81	782
61	82	779
62	83	775
63	84	771
64	86	768
65	87	763
66	87	759
67	88	755
68	89	750
69	90	745
70	91	743
71	93	742
72	94	740
73	95	738
74	96	735
75	97	731
76	98	728
77	99	725
78	100	721
79	101	718
80	102	714
81	103	711
82	104	707
83	105	704
84	106	701
85	107	698
86	108	697
87	109	695
88	111	695
89	112	693
90	113	690
91	114	687
92	115	684
93	116	681
94	117	678
95	118	675
96	119	672
97	120	669
98	120	667
99	122	665
100	123	663
101	124	663
102	126	663
103	127	663
104	128	661
105	129	659
106	130	658
107	132	657
108	133	657
109	135	656
110	136	656
111	137	655
112	139	654
113	140	653
114	141	652
115	142	650
116	143	649
117	145	648
118	146	646
119	147	644
120	148	641
121	149	639
122	150	637
123	151	635
124	152	633
125	153	631
126	154	629
127	155	628
128	156	627
129	158	626
130	159	624
131	160	622
132	161	621
133	162	619
134	163	617
135	164	615
136	165	613
137	166	611
138	167	610
139	168	608
140	169	605
141	170	605
